period,from_station,to_station,amount,from_lat,from_lon,to_lat,to_lon
AM,1039,1019,9,55.94740919920712,-3.2057654971365537,55.947097278583385,-3.1972457326126005
AM,1091,1090,3,55.94955950619123,-3.180413257527789,55.95787194536338,-3.175888370919665
AM,1091,1769,2,55.94955950619123,-3.180413257527789,55.96085174106396,-3.180985762469163
AM,1092,1721,6,55.94179129688128,-3.2224153095965,55.944248052468346,-3.2031045991104747
AM,1092,1823,3,55.94179129688128,-3.2224153095965,55.94007146917616,-3.215335840688084
AM,1726,1096,6,55.94485886752089,-3.182589723460069,55.9438359841253,-3.1849514084976818
AM,1727,1096,2,55.93650603148236,-3.1801663476151134,55.9438359841253,-3.1849514084976818
AM,1727,265,6,55.93650603148236,-3.1801663476151134,55.939809466328285,-3.182738850746432
AM,1729,1769,3,55.9640310527501,-3.1851753729504253,55.96085174106396,-3.180985762469163
AM,1763,1720,2,55.95941012836135,-3.2156613606136943,55.9607624081837,-3.201278014771333
AM,1765,1050,2,55.946063966641006,-3.2230240243595745,55.94607055533778,-3.2103963310007657
AM,1765,1721,2,55.946063966641006,-3.2230240243595745,55.944248052468346,-3.2031045991104747
AM,1765,258,1,55.946063966641006,-3.2230240243595745,55.95856558589723,-3.208070182227744
AM,1818,1090,8,55.951089465236365,-3.17572460948655,55.95787194536338,-3.175888370919665
AM,189,1028,2,55.95010933017899,-3.190257770093808,55.94979756563328,-3.1877950320129003
AM,2268,1769,2,55.95653524179326,-3.1862476120746805,55.96085174106396,-3.180985762469163
AM,246,1096,7,55.93900024788877,-3.173923554315593,55.9438359841253,-3.1849514084976818
AM,248,1798,5,55.94583371599285,-3.189053072075467,55.94760044619224,-3.188919736735216
AM,256,1769,6,55.95316433242384,-3.181682340931843,55.96085174106396,-3.180985762469163
AM,289,1720,2,55.95150073734976,-3.2031839065252825,55.9607624081837,-3.201278014771333
AM,289,1730,7,55.95150073734976,-3.2031839065252825,55.95995414501485,-3.1871977585476543
AM,349,1753,3,55.95508276879095,-3.2236342639564555,55.95953624971772,-3.223434402338853
OP,1039,1019,10,55.94740919920712,-3.2057654971365537,55.947097278583385,-3.1972457326126005
OP,1039,248,2,55.94740919920712,-3.2057654971365537,55.94583371599285,-3.189053072075467
OP,1052,248,1,55.94664279961712,-3.185474585938892,55.94583371599285,-3.189053072075467
OP,1091,1769,3,55.94955950619123,-3.180413257527789,55.96085174106396,-3.180985762469163
OP,1091,1798,3,55.94955950619123,-3.180413257527789,55.94760044619224,-3.188919736735216
OP,1091,248,1,55.94955950619123,-3.180413257527789,55.94583371599285,-3.189053072075467
OP,1092,1721,7,55.94179129688128,-3.2224153095965,55.944248052468346,-3.2031045991104747
OP,1102,1721,6,55.94556945067266,-3.21818468327956,55.944248052468346,-3.2031045991104747
OP,1727,246,9,55.93650603148236,-3.1801663476151134,55.93900024788877,-3.173923554315593
OP,1763,258,4,55.95941012836135,-3.2156613606136943,55.95856558589723,-3.208070182227744
OP,1765,248,6,55.946063966641006,-3.2230240243595745,55.94583371599285,-3.189053072075467
OP,1765,258,2,55.946063966641006,-3.2230240243595745,55.95856558589723,-3.208070182227744
OP,1765,289,5,55.946063966641006,-3.2230240243595745,55.95150073734976,-3.2031839065252825
OP,189,1028,7,55.95010933017899,-3.190257770093808,55.94979756563328,-3.1877950320129003
OP,189,1798,2,55.95010933017899,-3.190257770093808,55.94760044619224,-3.188919736735216
OP,251,2268,3,55.952641035774384,-3.187526919462357,55.95653524179326,-3.1862476120746805
OP,256,1769,3,55.95316433242384,-3.181682340931843,55.96085174106396,-3.180985762469163
OP,349,1753,9,55.95508276879095,-3.2236342639564555,55.95953624971772,-3.223434402338853
